,no,player,team,avg,game,pa,ab,r,h,2b,3b,hr,tb,rbi,sb,cs,sac,sf,bb,ibb,db,so,gidp,slg,obp
9,8,陽　岱鋼,(日),.293,125,540,471,77,138,18,1,25,233,85,20,6,9,3,45,0,12,108,10,.495,.367
10,9,松井　稼頭央,(楽),.291,128,488,444,57,129,32,3,8,191,46,9,0,2,5,36,0,1,78,9,.430,.342
11,10,メヒア,(西),.290,106,450,396,56,115,11,1,34,230,73,2,1,0,3,45,1,6,156,4,.581,.369
12,11,栗山　巧,(西),.288,144,642,532,64,153,34,4,3,204,61,3,2,2,9,96,2,3,100,9,.383,.394
13,12,鈴木　大地,(ロ),.287,144,610,533,60,153,29,7,3,205,43,7,1,22,4,45,0,6,57,1,.385,.347
14,13,岡島　豪郎,(楽),.283,142,618,545,77,154,27,3,7,208,53,9,10,9,3,57,2,4,71,7,.382,.353
15,14,角中　勝也,(ロ),.277,133,544,451,62,125,22,5,8,181,57,9,1,7,4,76,0,6,66,4,.401,.385
16,15,浅村　栄斗,(西),.273,118,501,440,52,120,19,1,14,183,55,3,5,0,8,47,2,6,100,8,.416,.345
17,16,今江　敏晃,(ロ),.270,120,478,445,48,120,23,3,10,179,54,1,1,4,1,23,0,5,43,13,.402,.312
18,17,中田　翔,(日),.269,144,602,531,64,143,18,0,27,242,100,0,0,0,7,58,3,6,89,12,.456,.344
19,18,Ｔ－岡田,(オ),.269,130,533,472,67,127,28,0,24,227,75,4,4,5,2,37,4,17,107,10,.481,.343
20,19,藤田　一也,(楽),.269,144,579,517,46,139,15,2,2,164,36,3,5,41,2,16,0,3,55,12,.317,.294
21,20,平野　恵一,(オ),.268,120,517,452,59,121,14,3,1,144,28,5,2,19,2,37,0,7,55,8,.319,.331
22,21,西川　遥輝,(日),.265,143,637,555,90,147,19,13,8,216,57,43,11,16,0,63,1,3,139,1,.389,.343
23,22,安達　了一,(オ),.259,143,601,486,73,126,13,5,8,173,50,29,10,45,4,58,0,8,79,8,.356,.345
